bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,94042.0,102565.0,56936.0,61792.0,67735.0,74154.0,81086.0,88573.0,96659.0,80128.0,83766.0,91467.0,99196.0,108132.0,117783.0,128206.0,139462.0,90028.0,98230.0,107088.0,116655.0,126987.0,138146.0,150198.0,163214.0,177271.0,192453.0,111676.0,121610.0,132339.0,143926.0,156440.0,169955.0,184551.0,200315.0,217340.0,235727.0,255585.0,277032.0,268479.0,280303.0,300449.0,181948.0,187673.0,203687.0,220091.0,237592.0,256257.0,277758.0,299012.0,279943.0,298096.0,307074.0,324339.0,344252.0,365124.0,389145.0,193470.0,200965.0,218042.0
bweforvideo-googBucketDelay,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
timestamp,1546025868,1546025869,1546025870,1546025871,1546025872,1546025873,1546025874,1546025875,1546025876,1546025877,1546025878,1546025879,1546025880,1546025881,1546025882,1546025883,1546025884,1546025885,1546025886,1546025887,1546025888,1546025889,1546025890,1546025891,1546025892,1546025893,1546025894,1546025895,1546025896,1546025897,1546025898,1546025899,1546025900,1546025901,1546025902,1546025903,1546025904,1546025905,1546025906,1546025907,1546025908,1546025909,1546025910,1546025911,1546025912,1546025913,1546025914,1546025915,1546025916,1546025917,1546025918,1546025919,1546025920,1546025921,1546025922,1546025923,1546025924,1546025925,1546025926,1546025927
audio_bitsReceivedPerSecond,346160.0,383872.0,367456.0,368000.0,414456.0,352272.0,466320.0,367256.0,439112.0,372280.0,357168.0,390464.0,380608.0,407888.0,421216.0,435768.0,466504.0,463976.0,553184.0,486040.0,514048.0,477744.0,520232.0,324032.0,423856.0,395256.0,412888.0,432712.0,476552.0,491680.0,500168.0,490136.0,472904.0,541576.0,413760.0,425368.0,479960.0,355584.0,441392.0,432632.0,450320.0,489176.0,480864.0,496504.0,495928.0,505664.0,533536.0,429696.0,545952.0,452528.0,543504.0,356896.0,467480.0,367648.0,490784.0,426048.0,422704.0,459080.0,491104.0,492936.0
audio_bitsSentPerSecond,150976.0,153448.0,132776.0,109560.0,115744.0,118368.0,136480.0,142928.0,141648.0,166832.0,150712.0,139072.0,166328.0,153432.0,158104.0,141296.0,169912.0,164432.0,145216.0,163152.0,181072.0,153848.0,168160.0,188280.0,190640.0,202600.0,226032.0,189728.0,174544.0,193888.0,184104.0,185840.0,217168.0,220408.0,229128.0,224104.0,257296.0,261264.0,304440.0,421552.0,244120.0,335128.0,299000.0,210552.0,220080.0,231504.0,255112.0,257568.0,309240.0,334376.0,333168.0,333912.0,379344.0,379552.0,367240.0,372280.0,417240.0,277720.0,213384.0,256336.0
audio_packetsSentPerSecond,108.0,120.0,102.0,76.0,80.0,109.0,125.0,123.0,116.0,123.0,106.0,107.0,121.0,100.0,119.0,128.0,129.0,126.0,124.0,132.0,119.0,127.0,129.0,133.0,131.0,133.0,132.0,127.0,127.0,134.0,133.0,132.0,132.0,133.0,134.0,136.0,139.0,138.0,178.0,188.0,143.0,188.0,144.0,135.0,134.0,135.0,138.0,138.0,182.0,176.0,154.0,214.0,169.0,179.0,194.0,199.0,193.0,156.0,135.0,139.0
audio_googLocalAddress,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791,35.204.47.190:51791
audio_googRemoteAddress,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,51.0,51.0,51.0,42.0,42.0,35.0,35.0,35.0,44.0,44.0,36.0,36.0,36.0,30.0,30.0,55.0,55.0,55.0
audio_send_bitsSentPerSecond_1234617397,40400.0,40400.0,40400.0,40400.0,40400.0,40400.0,39288.0,40400.0,39104.0,39720.0,40400.0,40296.0,40400.0,40400.0,29656.0,24800.0,24760.0,23912.0,24936.0,24752.0,24624.0,24496.0,24584.0,25024.0,24144.0,24624.0,24312.0,24832.0,24848.0,24456.0,24656.0,24632.0,24448.0,24112.0,23976.0,24304.0,24808.0,24104.0,24288.0,24944.0,25048.0,24488.0,24856.0,24760.0,24640.0,24584.0,24712.0,24752.0,24600.0,24544.0,25312.0,24944.0,24424.0,24280.0,24696.0,24592.0,24864.0,24952.0,24792.0,24528.0
audio_send_packetsLost_1234617397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
audio_send_packetsSentPerSecond_1234617397,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived_1234617397,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,47.0,47.0,47.0,47.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
